model,horizon,partition,groups,closure_tv,exact_closure,matched_controls,random_q05,random_median,random_q95,random_better_or_equal,one_sided_p,exceptionality_percentile
ECMrest,0.01,B16,16,0.008798133623124116,False,2000,0.016448546352294282,0.01987146327016116,0.02166237649468458,0,0.0004997501249375312,100.0
ECMrest,0.01,AA20,20,0.0076894696471203556,False,2000,0.014964602763846832,0.019156335415695357,0.023319647838232527,0,0.0004997501249375312,100.0
ECMrest,0.01,L23,23,0.009209600079968704,False,2000,0.014789547691986583,0.018406408659551225,0.021807041263758944,0,0.0004997501249375312,100.0
ECMrest,0.05,B16,16,0.04085768344278989,False,2000,0.07632501858172226,0.09097864695571031,0.09945118231709747,0,0.0004997501249375312,100.0
ECMrest,0.05,AA20,20,0.03621414133612016,False,2000,0.06954588983864704,0.08830222808947824,0.10674433593799802,0,0.0004997501249375312,100.0
ECMrest,0.05,L23,23,0.04261695090073801,False,2000,0.06864303436024669,0.085262292578964,0.10027475118206057,0,0.0004997501249375312,100.0
ECMrest,0.1,B16,16,0.07459470407291517,False,2000,0.1396164901360057,0.16342399029722193,0.17979519278663272,0,0.0004997501249375312,100.0
ECMrest,0.1,AA20,20,0.06733654201986597,False,2000,0.1277446520896204,0.16057064473606084,0.1920859128008279,0,0.0004997501249375312,100.0
ECMrest,0.1,L23,23,0.07789759710189546,False,2000,0.12536647004016835,0.1555085877984163,0.18133728785873354,0,0.0004997501249375312,100.0
ECMrest,0.5,B16,16,0.1932817481283015,False,2000,0.3680756813290885,0.41030480296158633,0.45092126787565945,0,0.0004997501249375312,100.0
ECMrest,0.5,AA20,20,0.20059867999551642,False,2000,0.34962416502329635,0.41882654676049935,0.4768864171246927,0,0.0004997501249375312,100.0
ECMrest,0.5,L23,23,0.19885451902472945,False,2000,0.3447108985228097,0.4126642657117995,0.45833107074892904,0,0.0004997501249375312,100.0
ECMrest,1.0,B16,16,0.204416957236786,False,2000,0.40256810441669333,0.44840832768037053,0.49898934070704654,0,0.0004997501249375312,100.0
ECMrest,1.0,AA20,20,0.26182105372573283,False,2000,0.39346763117119177,0.4580289306566654,0.5249293475100871,0,0.0004997501249375312,100.0
ECMrest,1.0,L23,23,0.19368117176364827,False,2000,0.3913575840544167,0.4569738140020967,0.5112842853779644,0,0.0004997501249375312,100.0
ECMunrest,0.01,B16,16,0.0045568157827122506,False,2000,0.007841619995792895,0.009154320626084431,0.01065070206274962,0,0.0004997501249375312,100.0
ECMunrest,0.01,AA20,20,0.0021621699888670657,False,2000,0.007771303135623589,0.009131090387392023,0.011221079937571612,0,0.0004997501249375312,100.0
ECMunrest,0.01,L23,23,0.003833828866541859,False,2000,0.007647839218811458,0.008903727707782064,0.010812426933727104,0,0.0004997501249375312,100.0
ECMunrest,0.05,B16,16,0.021963181854097607,False,2000,0.0376037044667077,0.043810687582702,0.05100201037513182,0,0.0004997501249375312,100.0
ECMunrest,0.05,AA20,20,0.010413836404041256,False,2000,0.037287167068258395,0.04382888279646233,0.05367590355586575,0,0.0004997501249375312,100.0
ECMunrest,0.05,L23,23,0.018171400572618377,False,2000,0.036711914330445024,0.042662506218103136,0.05179084300539078,0,0.0004997501249375312,100.0
ECMunrest,0.1,B16,16,0.04197017620743657,False,2000,0.07135352933057187,0.08300863956082888,0.09666713676256712,0,0.0004997501249375312,100.0
ECMunrest,0.1,AA20,20,0.01988210652604537,False,2000,0.07095125424149137,0.08318164981898774,0.10183021277121733,0,0.0004997501249375312,100.0
ECMunrest,0.1,L23,23,0.0340027535208722,False,2000,0.06989181360124457,0.0810963439483969,0.09823497551759018,0,0.0004997501249375312,100.0
ECMunrest,0.5,B16,16,0.14780793480678062,False,2000,0.24477176467751616,0.2772572184537502,0.3223080842977621,0,0.0004997501249375312,100.0
ECMunrest,0.5,AA20,20,0.0696073074014937,False,2000,0.24396292992520285,0.28172350943416924,0.33738568313485834,0,0.0004997501249375312,100.0
ECMunrest,0.5,L23,23,0.10090249181460835,False,2000,0.24124069581082333,0.2766766246457403,0.3273360932631274,0,0.0004997501249375312,100.0
ECMunrest,1.0,B16,16,0.19694511115313545,False,2000,0.3223351977924024,0.3575868904410035,0.4108117530269186,0,0.0004997501249375312,100.0
ECMunrest,1.0,AA20,20,0.09227531433255982,False,2000,0.32251293830309335,0.3663228166995275,0.4282093297651426,0,0.0004997501249375312,100.0
ECMunrest,1.0,L23,23,0.10809217460703721,False,2000,0.32254737359980035,0.36182770891287375,0.41815656058419914,0,0.0004997501249375312,100.0
