model,horizon,requested_k,matching_target,repeat,method,discovered_closure_tv,ari_B16,ari_AA20,ari_L23
ECMrest,0.01,16,B16,0,jump_profile,0.019981761336950565,0.2088128275213705,0.2851270749156041,0.2305721437158793
ECMrest,0.01,16,B16,0,spectral,0.007688964162006248,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,1,jump_profile,0.017010687326328048,0.27283319888859014,0.3846708096910745,0.3033547466095646
ECMrest,0.01,16,B16,1,spectral,0.007688989052187876,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,2,jump_profile,0.014452299967675365,0.22139878455772746,0.27860560740862034,0.23226112612705552
ECMrest,0.01,16,B16,2,spectral,0.007688989052187875,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,3,jump_profile,0.017482346676302597,0.20553841606473186,0.3091219666165358,0.2524983625953392
ECMrest,0.01,16,B16,3,spectral,0.007688927249758772,0.5794547780294262,0.8269676794980895,0.6698333302226619
ECMrest,0.01,16,B16,4,jump_profile,0.017612887102165235,0.182470882306015,0.24256989505727788,0.19043377571924824
ECMrest,0.01,16,B16,4,spectral,0.007666164174646764,0.6265756936500911,0.7780780624707656,0.7027696025883408
ECMrest,0.01,16,B16,5,jump_profile,0.021507694411872936,0.22139878455772746,0.28970398267925696,0.23226112612705552
ECMrest,0.01,16,B16,5,spectral,0.007688989052187874,0.6055377045599554,0.7780780624707656,0.7027696025883408
ECMrest,0.01,16,B16,6,jump_profile,0.019244989132633738,0.20287544483985764,0.2567996567996568,0.212144578313253
ECMrest,0.01,16,B16,6,spectral,0.007688989052187875,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,7,jump_profile,0.021525237287101505,0.1487838275721498,0.21732080164990003,0.1638874823208954
ECMrest,0.01,16,B16,7,spectral,0.007688989052187875,0.6233311081441922,0.8312798591903445,0.6737967914438503
ECMrest,0.01,16,B16,8,jump_profile,0.015306646201822267,0.20395784830290406,0.2957421261660663,0.237740207917673
ECMrest,0.01,16,B16,8,spectral,0.007318816257669211,0.612371385295705,0.7866050969897326,0.7114645538934548
ECMrest,0.01,16,B16,9,jump_profile,0.01743004819777565,0.2163349063924447,0.3025310534795489,0.25097939852261875
ECMrest,0.01,16,B16,9,spectral,0.007688989052187876,0.6055377045599554,0.7780780624707656,0.7027696025883408
ECMrest,0.01,16,B16,10,jump_profile,0.015287395239345596,0.1808331585436352,0.2668608144963713,0.19970693973522347
ECMrest,0.01,16,B16,10,spectral,0.007688964162006248,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,11,jump_profile,0.017105737708175653,0.22259071972249403,0.32125258305515814,0.2583364892069124
ECMrest,0.01,16,B16,11,spectral,0.007953863153111251,0.606922428559776,0.8101089538789219,0.6543909348441926
ECMrest,0.01,16,B16,12,jump_profile,0.01751762062494704,0.19576101468624832,0.2791048529041991,0.20452200018763486
ECMrest,0.01,16,B16,12,spectral,0.00768896416200625,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,13,jump_profile,0.021043932288031315,0.19042205984894206,0.2781575089634222,0.20970281636802138
ECMrest,0.01,16,B16,13,spectral,0.007688989052187875,0.6055377045599554,0.7780780624707656,0.7027696025883408
ECMrest,0.01,16,B16,14,jump_profile,0.017105056702364823,0.24348676230077065,0.3562942343030766,0.2826046588400355
ECMrest,0.01,16,B16,14,spectral,0.007688964162006248,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,15,jump_profile,0.019031294329228517,0.19480087048554542,0.22917674893800075,0.21460289138060382
ECMrest,0.01,16,B16,15,spectral,0.007688989052187875,0.5943173987596353,0.7938492734031768,0.6395767309448354
ECMrest,0.01,16,B16,16,jump_profile,0.01968466918320767,0.22638157088592084,0.3295465041100951,0.27617347474535336
ECMrest,0.01,16,B16,16,spectral,0.007688902359577145,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,17,jump_profile,0.0174764885287662,0.2237153024911032,0.3300729300729301,0.2709397590361446
ECMrest,0.01,16,B16,17,spectral,0.007688989052187875,0.6055377045599554,0.7780780624707656,0.7027696025883408
ECMrest,0.01,16,B16,18,jump_profile,0.018325946729181527,0.2656729231860345,0.35918359690096985,0.32168594829245345
ECMrest,0.01,16,B16,18,spectral,0.007688989052187874,0.6055377045599554,0.7780780624707656,0.7027696025883408
ECMrest,0.01,16,B16,19,jump_profile,0.020256243990268978,0.23028601394017523,0.33236228377688903,0.2659513879958112
ECMrest,0.01,16,B16,19,spectral,0.007688964162006248,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,20,jump_profile,0.019705204762815686,0.2102754994519663,0.32861176245394075,0.23235080380722806
ECMrest,0.01,16,B16,20,spectral,0.0076536618218158645,0.6029706275033377,0.8312798591903445,0.6737967914438503
ECMrest,0.01,16,B16,21,jump_profile,0.0199627797222222,0.214982634060908,0.29281038757201205,0.24984375945003326
ECMrest,0.01,16,B16,21,spectral,0.007688964162006248,0.619337524829635,0.7952983980642541,0.7203563811763768
ECMrest,0.01,16,B16,22,jump_profile,0.020293768117351497,0.1868034204458109,0.2656456489074748,0.21796475969723697
ECMrest,0.01,16,B16,22,spectral,0.007688989052187874,0.6055377045599554,0.7780780624707656,0.7027696025883408
