model,horizon,requested_k,matching_target,method,repeats,median_matching_ari,q05_matching_ari,q95_matching_ari,exact_recovery_rate,category,median_discovered_closure_tv
ECMrest,0.01,16,B16,jump_profile,30,0.2095441634866684,0.1612369946720729,0.26664514048193416,0.0,WEAK_NULL,0.01896227730815109
ECMrest,0.01,16,B16,spectral,30,0.619337524829635,0.5963493024138848,0.6474412192389635,0.0,PARTIAL,0.007688989052187874
ECMrest,0.01,20,AA20,jump_profile,30,0.2885748896351251,0.2305142639989099,0.34404602683706925,0.0,WEAK_NULL,0.017054650215014497
ECMrest,0.01,20,AA20,spectral,30,0.7803406326034064,0.7435257126387486,0.851581508515815,0.0,STRONG,0.007689469647120356
ECMrest,0.01,23,L23,jump_profile,30,0.19764720860522483,0.11698514983479814,0.27718799095304714,0.0,WEAK_NULL,0.015344336648508525
ECMrest,0.01,23,L23,spectral,30,0.6490861072614597,0.6177260519247986,0.6995487122472211,0.0,PARTIAL,0.007742971236675304
ECMrest,0.05,16,B16,jump_profile,30,0.22093715290370342,0.13862290786945278,0.30006989486201446,0.0,WEAK_NULL,0.08385486402222073
ECMrest,0.05,16,B16,spectral,30,0.619337524829635,0.5866874559147336,0.6512151734972046,0.0,PARTIAL,0.03620091590399848
ECMrest,0.05,20,AA20,jump_profile,30,0.2790519389254456,0.2382318770707582,0.3127853767135264,0.0,WEAK_NULL,0.07719517015012323
ECMrest,0.05,20,AA20,spectral,30,0.7803406326034064,0.7398206520608368,0.7874194110472208,0.0,STRONG,0.036214141336120165
ECMrest,0.05,23,L23,jump_profile,30,0.17902442827822335,0.15461653112987997,0.2686240395302179,0.0,WEAK_NULL,0.0771759801278134
ECMrest,0.05,23,L23,spectral,30,0.6542276248722445,0.6224520381246516,0.702674339572667,0.0,PARTIAL,0.036429120540893534
ECMrest,0.1,16,B16,jump_profile,30,0.24471772270999254,0.1884580970288474,0.2889305505184415,0.0,WEAK_NULL,0.14882144347214907
ECMrest,0.1,16,B16,spectral,30,0.619337524829635,0.5943173987596353,0.6498113940185077,0.0,PARTIAL,0.0672787540245167
ECMrest,0.1,20,AA20,jump_profile,30,0.2916079925151663,0.21406224659334244,0.38984358810234876,0.0,WEAK_NULL,0.13741850413422343
ECMrest,0.1,20,AA20,spectral,30,0.7838800218253136,0.7538634819799003,0.7874194110472208,0.0,STRONG,0.06733654201986598
ECMrest,0.1,23,L23,jump_profile,30,0.192452729266401,0.15149752087882157,0.2694440120657061,0.0,WEAK_NULL,0.12136349327128504
ECMrest,0.1,23,L23,spectral,30,0.6565334552035453,0.6279232745866535,0.7071329960552674,0.0,PARTIAL,0.06771954525339835
ECMrest,0.5,16,B16,jump_profile,30,0.3090257199868327,0.2594714029710943,0.36852820509561424,0.0,WEAK_NULL,0.2973815968478145
ECMrest,0.5,16,B16,spectral,30,0.612371385295705,0.5970148006498678,0.6381465876496657,0.0,PARTIAL,0.19888961097123387
ECMrest,0.5,20,AA20,jump_profile,30,0.3955050433282047,0.3343633043149921,0.49067331893269817,0.0,WEAK_NULL,0.27848413937744354
ECMrest,0.5,20,AA20,spectral,30,0.7803406326034064,0.7476157967686548,0.8093404541225953,0.0,STRONG,0.20059867999551648
ECMrest,0.5,23,L23,jump_profile,30,0.26785502603049255,0.21509594003823507,0.3009562949498143,0.0,WEAK_NULL,0.2638378911374618
ECMrest,0.5,23,L23,spectral,30,0.6490861072614597,0.6279232745866535,0.6901902029000229,0.0,PARTIAL,0.20113497586519363
ECMrest,1.0,16,B16,jump_profile,30,0.34464310260156295,0.2807245184922081,0.39919759303685376,0.0,WEAK_NULL,0.3406433797328282
ECMrest,1.0,16,B16,spectral,30,0.605893485522588,0.5808746940043019,0.6251156301724367,0.0,PARTIAL,0.23481580023618365
ECMrest,1.0,20,AA20,jump_profile,30,0.44495499025917407,0.3346480625622813,0.5529969813220112,0.0,PARTIAL,0.3286718702903032
ECMrest,1.0,20,AA20,spectral,30,0.7681768176817682,0.7359849868580335,0.8406439635347994,0.0,STRONG,0.23649084320800526
ECMrest,1.0,23,L23,jump_profile,30,0.354237191700961,0.31229045042150516,0.4152112312866771,0.0,WEAK_NULL,0.3061581330359206
