method,selected_k,population_closure_max_row_tv,population_exact_at_1e_minus_10,heldout_closure_mean_row_tv,ari_family8,ari_t2,max_ari_cube_coordinate2,tau,samples_per_state,repeat
blind_raw_eigengap,4,0.037102676760587025,False,0.060567110371602895,,,,0.1,100,0
oracle_k2,2,0.14291407500108555,False,0.06487201513258363,,0.15564613526570048,0.23369565217391305,0.1,100,0
oracle_k8,8,0.1560364329601332,False,0.10857612183329629,-0.06900539707016191,,,0.1,100,0
blind_raw_eigengap,8,0.20619704618362017,False,0.10358209819617566,-0.09680207433016422,,,0.1,100,1
oracle_k2,2,0.1885142979034552,False,0.03767864529264859,,-0.014490566037735849,0.8368301886792453,0.1,100,1
oracle_k8,8,0.16822562143219144,False,0.10684123420548204,-0.06217221321636312,,,0.1,100,1
blind_raw_eigengap,4,0.03710267676058707,False,0.06625242651136992,,,,0.1,100,2
oracle_k2,2,0.12385859142914885,False,0.04918033262082574,,-0.0027091093802912294,0.37927531324077207,0.1,100,2
oracle_k8,8,0.13795511266486934,False,0.1015279575567632,-0.10698960617907886,,,0.1,100,2
blind_raw_eigengap,4,0.0371026767605871,False,0.063715335551858,,,,0.1,100,3
oracle_k2,2,0.10121966886898426,False,0.059858392336526456,,0.23369565217391305,0.23369565217391305,0.1,100,3
oracle_k8,8,0.19144866591384418,False,0.133001710028424,-0.03019970774476376,,,0.1,100,3
blind_raw_eigengap,8,0.2051238652991228,False,0.1112228964957242,-0.07737692233291421,,,0.1,100,4
oracle_k2,2,0.10121966886898423,False,0.05280846522282381,,0.23369565217391305,0.23369565217391305,0.1,100,4
oracle_k8,8,0.16704986049357223,False,0.1214479680022018,-0.06143540669856459,,,0.1,100,4
blind_raw_eigengap,4,0.03710267676058707,False,0.06490501941209095,,,,0.1,100,5
oracle_k2,2,0.07151512381109915,False,0.04049291931994043,,0.04341926729986431,0.55359565807327,0.1,100,5
oracle_k8,8,0.20512386529912288,False,0.10887132631010281,-0.07737692233291421,,,0.1,100,5
blind_raw_eigengap,4,0.03710267676058703,False,0.0666063505268996,,,,0.1,100,6
oracle_k2,2,0.1258361689254072,False,0.04634355699396523,,0.00724200362100181,0.687990343995172,0.1,100,6
oracle_k8,8,0.20512386529912285,False,0.11521870276644035,-0.08906264899399256,,,0.1,100,6
blind_raw_eigengap,8,0.18137983634298668,False,0.10395526177757065,-0.10756366400608133,,,0.1,100,7
oracle_k2,2,1.2004286453759505e-15,True,0.026450350548382615,,-0.021739130434782608,1.0,0.1,100,7
oracle_k8,8,0.16716642208634552,False,0.11600975347988418,-0.02933124755572937,,,0.1,100,7
blind_raw_eigengap,4,0.0371026767605871,False,0.0700682889628397,,,,0.1,100,8
oracle_k2,2,1.1796119636642288e-15,True,0.02800560530334582,,-0.021739130434782608,1.0,0.1,100,8
oracle_k8,8,0.19389492699817423,False,0.10138678188097994,-0.09741626794258373,,,0.1,100,8
blind_raw_eigengap,4,0.0371026767605871,False,0.064158693843594,,,,0.1,100,9
oracle_k2,2,8.465450562766819e-16,True,0.021394557823129257,,-0.021739130434782608,1.0,0.1,100,9
oracle_k8,8,0.18304210373331037,False,0.12971514059087338,-0.002727715538236727,,,0.1,100,9
blind_raw_eigengap,4,0.0371026767605871,False,0.06556503050471436,,,,0.1,100,10
oracle_k2,2,8.465450562766819e-16,True,0.02005674718867139,,-0.021739130434782608,1.0,0.1,100,10
oracle_k8,8,0.17941041868361834,False,0.12817014302406046,0.07635166901739539,,,0.1,100,10
blind_raw_eigengap,4,0.037102676760587025,False,0.06344391292290626,,,,0.1,100,11
oracle_k2,2,0.10121966886898405,False,0.05175916284881298,,0.23369565217391305,0.23369565217391305,0.1,100,11
oracle_k8,8,0.20881218162704757,False,0.14416022425154254,0.01766264350897851,,,0.1,100,11
blind_raw_eigengap,4,0.03710267676058694,False,0.06262825845812535,,,,0.1,100,12
oracle_k2,2,8.465450562766819e-16,True,0.01923183048729695,,-0.021739130434782608,1.0,0.1,100,12
oracle_k8,8,0.17378317352981232,False,0.10370480827459094,-0.023708558211256746,,,0.1,100,12
blind_raw_eigengap,4,0.037102676760587025,False,0.06055567110371601,,,,0.1,100,13
oracle_k2,2,0.22122626886795752,False,0.04418535041437576,,-0.005736498471525078,0.7605389289353511,0.1,100,13
oracle_k8,8,0.09151035802401797,False,0.09196410172733689,-0.12743628185907047,,,0.1,100,13
blind_raw_eigengap,8,0.19516850928587545,False,0.09049704471824226,-0.1170343717450999,,,0.1,100,14
oracle_k2,2,1.2004286453759505e-15,True,0.024326929751492424,,-0.021739130434782608,1.0,0.1,100,14
oracle_k8,8,0.2210746320182707,False,0.10364463437366418,-0.0909605585959615,,,0.1,100,14
blind_raw_eigengap,4,0.037102676760587025,False,0.06929527176927341,,,,0.1,100,15
oracle_k2,2,0.17158386445473867,False,0.04935096647654491,,-0.015328549423300898,0.2813239658864635,0.1,100,15
oracle_k8,8,0.2061387350056142,False,0.12466775912138343,-0.08646871070703163,,,0.1,100,15
blind_raw_eigengap,4,0.0371026767605871,False,0.0619904326123128,,,,0.1,100,16
oracle_k2,2,0.232941402021233,False,0.04429747594428755,,-0.014490566037735849,0.8368301886792453,0.1,100,16
oracle_k8,8,0.206138735005614,False,0.111911143989238,-0.09618350038550501,,,0.1,100,16
blind_raw_eigengap,4,0.03710267676058687,False,0.0635146283971159,,,,0.1,100,17
oracle_k2,2,1.2004286453759505e-15,True,0.0223737505206164,,-0.021739130434782608,1.0,0.1,100,17
oracle_k8,8,0.2051238652991225,False,0.11880858522844388,-0.06972054163065398,,,0.1,100,17
blind_raw_eigengap,8,0.16822562143219114,False,0.1053970087991765,-0.05088666152659985,,,0.1,100,18
oracle_k2,2,1.2004286453759505e-15,True,0.02381516382063027,,-0.021739130434782608,1.0,0.1,100,18
oracle_k8,8,0.19645626637615246,False,0.11138000886559203,-0.05994602929838088,,,0.1,100,18
blind_raw_eigengap,4,0.037102676760586775,False,0.06532619245701608,,,,0.1,100,19
oracle_k2,2,0.15182265002317724,False,0.056905060525470404,,-0.019618939822674968,0.4910771552537257,0.1,100,19
oracle_k8,8,0.1964370964189897,False,0.10344189375131589,-0.09802612758653571,,,0.1,100,19
blind_raw_eigengap,4,0.03710267676058687,False,0.06773710482529118,,,,0.1,100,20
oracle_k2,2,0.1408284027339504,False,0.0557626693282578,,0.06549707602339182,0.4910771552537257,0.1,100,20
oracle_k8,8,0.19818275534198088,False,0.09539498552456079,-0.10641148325358851,,,0.1,100,20
blind_raw_eigengap,4,0.03710267676058687,False,0.0644623544093178,,,,0.1,100,21
oracle_k2,2,0.152244453328022,False,0.056160498425575446,,0.19292750122655394,0.27806921538287355,0.1,100,21
oracle_k8,8,0.21542983506158017,False,0.13734859826501702,-0.004642615339974852,,,0.1,100,21
blind_raw_eigengap,8,0.2051238652991224,False,0.10890909297481839,-0.10698960617907886,,,0.1,100,22
oracle_k2,2,1.2004286453759505e-15,True,0.02353750173538803,,-0.021739130434782608,1.0,0.1,100,22
oracle_k8,8,0.18113233640968976,False,0.11014009096363893,-0.0787477191971574,,,0.1,100,22
blind_raw_eigengap,4,0.03710267676058707,False,0.06385433998890738,,,,0.1,100,23
oracle_k2,2,1.2004286453759505e-15,True,0.02569901429959739,,-0.021739130434782608,1.0,0.1,100,23
oracle_k8,8,0.17952952748180323,False,0.10819129648251231,-0.09741626794258373,,,0.1,100,23
blind_raw_eigengap,8,0.19643709641898915,False,0.11365050784339208,-0.07113569180890626,,,0.1,100,24
oracle_k2,2,8.465450562766819e-16,True,0.01953491600721921,,-0.021739130434782608,1.0,0.1,100,24
oracle_k8,8,0.19082246367246813,False,0.1019051051835647,-0.09680207433016422,,,0.1,100,24
blind_raw_eigengap,4,0.037102676760587025,False,0.07535149750415973,,,,0.1,100,25
oracle_k2,2,0.13954287277777622,False,0.06486501031920999,,0.06521492999207458,0.49092350077367247,0.1,100,25
oracle_k8,8,0.20003998578027482,False,0.11664173506846842,-0.02104237700925475,,,0.1,100,25
blind_raw_eigengap,4,0.03710267676058694,False,0.06506620909595119,,,,0.1,100,26
oracle_k2,2,0.23219457732318938,False,0.04116227613494377,,-0.021739130434782608,0.8368055555555556,0.1,100,26
oracle_k8,8,0.19530922480664878,False,0.11521046246526563,-0.0787477191971574,,,0.1,100,26
blind_raw_eigengap,8,0.18771935715229887,False,0.09208436280670916,-0.09802612758653571,,,0.1,100,27
oracle_k2,2,0.18851429790345525,False,0.03957561075776549,,-0.014490566037735849,0.8368301886792453,0.1,100,27
oracle_k8,8,0.15478137095604277,False,0.10580658629650763,-0.0787477191971574,,,0.1,100,27
blind_raw_eigengap,4,1.1666015375944028e-15,True,0.037503119800332774,,,,0.1,100,28
oracle_k2,2,1.1796119636642288e-15,True,0.020577190059697346,,-0.021739130434782608,1.0,0.1,100,28
oracle_k8,8,0.19735589395727016,False,0.14226865678979853,-0.0128130460104834,,,0.1,100,28
blind_raw_eigengap,8,0.20512386529912285,False,0.11694785623461669,-0.07737692233291421,,,0.1,100,29
oracle_k2,2,8.465450562766819e-16,True,0.023353637373316676,,-0.021739130434782608,1.0,0.1,100,29
oracle_k8,8,0.20512386529912305,False,0.10958203970582454,-0.10698960617907886,,,0.1,100,29
blind_raw_eigengap,4,1.1596626436904955e-15,True,0.04082778702163061,,,,0.1,100,30
oracle_k2,2,0.15224445332802183,False,0.05647608666224948,,0.19292750122655394,0.27806921538287355,0.1,100,30
oracle_k8,8,0.21805342593267127,False,0.11859007048564583,-0.09033235489063536,,,0.1,100,30
blind_raw_eigengap,8,0.20512386529912274,False,0.11838203427803055,-0.07737692233291421,,,0.1,100,31
oracle_k2,2,0.19563284961685984,False,0.045639639920823975,,0.06606085743373176,0.4913841861166623,0.1,100,31
oracle_k8,8,0.14497715644101805,False,0.10855148272467617,-0.08842105263157894,,,0.1,100,31
blind_raw_eigengap,4,0.03710267676058707,False,0.06323661952301718,,,,0.1,100,32
oracle_k2,2,0.1522444533280214,False,0.05775795403988194,,0.19292750122655394,0.27806921538287355,0.1,100,32
oracle_k8,8,0.18013509661120514,False,0.10941047717722531,-0.06972054163065398,,,0.1,100,32
blind_raw_eigengap,4,0.03710267676058694,False,0.06243656405990016,,,,0.1,100,33
oracle_k2,2,0.07151512381109915,False,0.037889035677107566,,0.04341926729986431,0.55359565807327,0.1,100,33
oracle_k8,8,0.1379551126648701,False,0.1079958397282726,-0.10698960617907886,,,0.1,100,33
blind_raw_eigengap,4,0.03710267676058687,False,0.06348169717138102,,,,0.1,100,34
oracle_k2,2,0.17639709172104484,False,0.05396141666455434,,0.007990351273933364,0.55359565807327,0.1,100,34
oracle_k8,8,0.1914752367895099,False,0.1238231805950305,-0.07183580387685291,,,0.1,100,34
blind_raw_eigengap,4,0.03710267676058694,False,0.06218039378813089,,,,0.1,100,35
oracle_k2,2,0.10121966886898423,False,0.054917569068443695,,0.23369565217391305,0.23369565217391305,0.1,100,35
oracle_k8,8,0.1225652622181124,False,0.09632633287483634,-0.10756366400608133,,,0.1,100,35
blind_raw_eigengap,8,0.21155616720969864,False,0.1322855593247303,0.0993351583887368,,,0.1,100,36
oracle_k2,2,0.24671614427240635,False,0.03325245676754649,,-0.01992678416424501,0.9166320715552704,0.1,100,36
oracle_k8,8,0.1894266916438905,False,0.13035826753603955,0.04419241298396558,,,0.1,100,36
blind_raw_eigengap,4,0.03710267676058687,False,0.06525339711591792,,,,0.1,100,37
oracle_k2,2,8.465450562766819e-16,True,0.02293783840066638,,-0.021739130434782608,1.0,0.1,100,37
