tau,samples_per_state,method,runs,selected_k_counts,hierarchy_level_selection_rate,population_exact_partition_rate,median_population_closure_tv,median_heldout_closure_tv,median_ari_family8,median_ari_t2,median_max_ari_cube_coordinate2
0.1,100,blind_raw_eigengap,100,"{""3"": 1, ""4"": 76, ""5"": 1, ""8"": 22}",0.22,0.05,0.037102676760587025,0.06559310870770937,-0.07772084358742858,,
0.1,100,oracle_k2,100,"{""2"": 100}",1.0,0.29,0.13949742069508744,0.04323789385589259,,-0.005736498471525078,0.6879197002994728
0.1,100,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.19515126784352332,0.11135953729849553,-0.07148574784287959,,
0.1,500,blind_raw_eigengap,100,"{""4"": 89, ""8"": 11}",0.11,0.0,0.03710267676058694,0.04915948850383205,-0.12743628185907047,,
0.1,500,oracle_k2,100,"{""2"": 100}",1.0,0.5,0.024735117840391403,0.01620098156745938,,-0.02083295729951381,0.9583160357776352
0.1,500,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.06156696482679429,0.057065598282289895,-0.12743628185907047,,
0.1,5000,blind_raw_eigengap,100,"{""4"": 100}",0.0,0.0,0.03710267676058698,0.040929761160739084,,,
0.1,5000,oracle_k2,100,"{""2"": 100}",1.0,0.51,1.2004286453759505e-15,0.0039553306326613885,,-0.021739130434782608,1.0
0.1,5000,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.03536668222755927,0.04097986513182149,-0.12743628185907047,,
0.4,100,blind_raw_eigengap,100,"{""4"": 100}",0.0,0.05,0.06185811153064257,0.10062915973377703,,,
0.4,100,oracle_k2,100,"{""2"": 100}",1.0,0.34,0.1538032607691256,0.05719656934348542,,-0.014490566037735849,0.7606112054329371
0.4,100,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.1932345540247543,0.14713919320894364,-0.050098737480442225,,
0.4,500,blind_raw_eigengap,100,"{""4"": 100}",0.0,0.0,0.06185811153064265,0.07830010135510386,,,
0.4,500,oracle_k2,100,"{""2"": 100}",1.0,0.44,0.08247748204085621,0.041328186719935496,,-0.016216216216216217,0.7606112054329371
0.4,500,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.0680944600231432,0.07703652208985293,-0.12743628185907047,,
0.4,5000,blind_raw_eigengap,100,"{""4"": 100}",0.0,0.0,0.061858111530642496,0.06704259538570936,,,
0.4,5000,oracle_k2,100,"{""2"": 100}",1.0,0.57,9.159339953157541e-16,0.005900619630253085,,-0.021739130434782608,1.0
0.4,5000,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.052332280146769064,0.055949135364949484,-0.12743628185907047,,
1.0,100,blind_raw_eigengap,100,"{""12"": 1, ""2"": 20, ""3"": 28, ""4"": 39, ""5"": 8, ""6"": 2, ""7"": 1, ""8"": 1}",0.21,0.0,0.08583394037326222,0.08002925744737721,0.1184688995215311,-0.010113532254630464,0.4325812732717687
1.0,100,oracle_k2,100,"{""2"": 100}",1.0,0.02,0.0767280108741019,0.05031045099061572,,-0.005432937181663837,0.43245283018867925
1.0,100,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.08405744102936233,0.1273806061488429,0.21758141235088996,,
1.0,500,blind_raw_eigengap,100,"{""4"": 100}",0.0,0.02,0.029254911086970092,0.04700951071864934,,,
1.0,500,oracle_k2,100,"{""2"": 100}",1.0,0.21,0.06625086598918878,0.027175740437378054,,-0.005584717826594457,0.6187511790228258
1.0,500,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.08439801132442364,0.06833271329857943,0.24177732823767456,,
1.0,5000,blind_raw_eigengap,100,"{""4"": 100}",0.0,0.01,0.02925491108697008,0.034412282993344666,,,
1.0,5000,oracle_k2,100,"{""2"": 100}",1.0,0.45,0.03900654811595983,0.013482593693173315,,-0.018071500190230613,0.8385855002453108
1.0,5000,oracle_k8,100,"{""8"": 100}",1.0,0.0,0.02249997010145202,0.02730621100153069,-0.12743628185907047,,
