model,samples_per_state,repeat,observed_micro_ei_bits,observed_macro_ei_bits,observed_delta_ei_bits,null_micro_ei_bits,null_macro_ei_bits,null_delta_ei_bits
eta_0,100,0,1.1842071341180922,0.8536855985880101,-0.3305215355300821,0.3757611214311218,0.006006161961958469,-0.3697549594691633
eta_0,100,1,1.1837286635767768,0.8702431125275518,-0.31348555104922493,0.38565346739026224,0.006418952075692292,-0.3792345153145699
eta_0,100,2,1.1967996744795815,0.8536463159038161,-0.34315335857576534,0.3757107641053836,0.00762593549220592,-0.3680848286131777
eta_0,100,3,1.2029240549370253,0.8737071544717431,-0.3292169004652822,0.3712727125928228,0.008303585537770622,-0.3629691270550522
eta_0,100,4,1.176872845251176,0.8578455163779254,-0.3190273288732507,0.3684110105823423,0.00706127471505299,-0.36134973586728936
eta_0,100,5,1.1923502486189694,0.8722521544935934,-0.32009809412537604,0.3696505255375014,0.005672970738702219,-0.3639775547987992
eta_0,100,6,1.1829247820367839,0.8423050446058371,-0.34061973743094676,0.36956064361689106,0.005372805124956225,-0.3641878384919348
eta_0,100,7,1.2100937720640403,0.8920433652526498,-0.3180504068113905,0.3741639897313042,0.007957475927639266,-0.3662065138036649
eta_0,100,8,1.195661764290006,0.8632863509934814,-0.33237541329652465,0.38451018008722365,0.007616291279354939,-0.3768938888078687
eta_0,100,9,1.1387913846296884,0.8270376606716447,-0.3117537239580437,0.3765786229149672,0.00826955873946386,-0.36830906417550335
eta_0,100,10,1.2078264790373419,0.8776319699738844,-0.3301945090634575,0.37045459947777243,0.008084000935596818,-0.3623705985421756
eta_0,100,11,1.1980708421150867,0.864356660692331,-0.3337141814227558,0.36353595864462024,0.006273721173115415,-0.3572622374715048
eta_0,100,12,1.2091951740656073,0.8723660219295037,-0.33682915213610354,0.3768918063632087,0.00640648650279938,-0.3704853198604093
eta_0,100,13,1.1937825275937752,0.860994551881948,-0.3327879757118273,0.39180672095425156,0.005030619811678865,-0.3867761011425727
eta_0,100,14,1.168003334581684,0.8390468911334336,-0.3289564434482505,0.3825141417721796,0.007442984822573323,-0.3750711569496063
eta_0,100,15,1.2016824302912765,0.8804499226143911,-0.3212325076768854,0.3712444178046061,0.005204722772687924,-0.3660396950319182
eta_0,100,16,1.2053671539828246,0.868081955870236,-0.3372851981125886,0.39879218071063277,0.007811737155653172,-0.3909804435549796
eta_0,100,17,1.2024406062023771,0.8792932492266219,-0.32314735697575525,0.37658834837039934,0.007899088850995925,-0.3686892595194034
eta_0,100,18,1.1693190180342783,0.8334363189888196,-0.33588269904545864,0.38625909946151227,0.006389634964545155,-0.3798694644969671
