model,samples_per_state,independent_repeats,median_observed_delta_ei_bits,observed_positive_delta_rate,median_null_delta_ei_bits,null_positive_delta_rate
eta_0,100,100,-0.32739504766932925,0.0,-0.3700594312029065,0.0
eta_0,500,100,-0.06931488588574625,0.0,-0.06608007395755593,0.0
eta_0,5000,100,-0.006569411160207983,0.0,-0.0065055876455845305,0.0
eta_0.02,100,100,-0.3269695155351234,0.0,-0.3718080536767988,0.0
eta_0.02,500,100,-0.06998251176211806,0.0,-0.06671747431694186,0.0
eta_0.02,5000,100,-0.007719665985146451,0.0,-0.00645914152116818,0.0
eta_0.2,100,100,-0.4240046538512026,0.0,-0.372584450138435,0.0
eta_0.2,500,100,-0.1733245469092365,0.0,-0.06617518752362442,0.0
eta_0.2,5000,100,-0.11065005404887152,0.0,-0.0064738298675060535,0.0
eta_0.8,100,100,-1.7315148172395467,0.0,-0.37095212360491686,0.0
eta_0.8,500,100,-1.571104375330459,0.0,-0.06554025123434268,0.0
eta_0.8,5000,100,-1.5144155521874343,0.0,-0.006467874119700366,0.0
isospectral_broken_8partition,100,100,-0.3265867803348769,0.0,-0.37141851572947326,0.0
isospectral_broken_8partition,500,100,-0.07039189716202993,0.0,-0.06639490286653482,0.0
isospectral_broken_8partition,5000,100,-0.007861686060676554,0.0,-0.006488840569031045,0.0
