model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0,100,0,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08536147902869758,0.08536147902869758,0.19746067880794704,0.17447157836644592,1.511130405968173,1.511130405968173,2.0567817413509055
eta_0,100,1,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08361065121412803,0.08361065121412803,0.1939103890728477,0.17496067880794705,1.4842688892493772,1.4842688892493772,2.055161685316307
eta_0,100,2,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09075883002207506,0.09075883002207508,0.1967632450331126,0.1795612582781457,1.5082553236477232,1.5082553236477232,2.0546004669602222
eta_0,100,3,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09487444812362032,0.09487444812362034,0.1956608719646799,0.16535596026490065,1.4988777373410824,1.4988777373410822,2.060264064614529
eta_0,100,4,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08808429911699779,0.08808429911699779,0.19688983167770419,0.1780194536423841,1.4769289679741135,1.4769289679741138,2.05472479687228
eta_0,100,5,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09321330022075057,0.09321330022075057,0.1974072157836645,0.17411423841059603,1.497207487963944,1.497207487963944,2.0559991437731897
eta_0,100,6,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08521868101545253,0.08521868101545253,0.19704884105960266,0.16808843818984545,1.478246580464596,1.478246580464596,2.0577507827520236
eta_0,100,7,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08134243929359823,0.08134243929359823,0.19415080022075057,0.16342370309050772,1.4879938170272677,1.487993817027268,2.058275511986267
eta_0,100,8,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09742618653421635,0.09742618653421635,0.19729925496688744,0.17281043046357616,1.4878362440906883,1.487836244090688,2.052041156704242
eta_0,100,9,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.08963783112582781,0.08963783112582781,0.19353649282560706,0.1778828642384106,1.499892349960525,1.499892349960525,2.0545033650106683
eta_0,100,10,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.09581746688741721,0.09581746688741721,0.1996116169977925,0.17412113686534217,1.4898253414093174,1.4898253414093174,2.0517664826186355
