model,samples_per_state,independent_repeats,median_ari,exact_partition_rate,median_discovered_population_closure_tv,median_hidden_population_closure_tv,median_discovered_heldout_closure_tv,median_hidden_heldout_closure_tv,median_random_heldout_closure_tv,median_discovered_log_loss,median_hidden_log_loss
eta_0,100,30,1.0,1.0,3.903127820947816e-18,3.903127820947816e-18,0.0898730684326711,0.0898730684326711,0.19743394729580577,1.4879150305589781,1.4879150305589781
eta_0,500,30,1.0,1.0,3.903127820947816e-18,3.903127820947816e-18,0.040252510541500225,0.040252510541500225,0.17091381630048824,1.4889529988825148,1.4889529988825148
eta_0,5000,30,1.0,1.0,3.903127820947816e-18,3.903127820947816e-18,0.013016523907923384,0.013016523907923384,0.16452994434075457,1.4886930499753925,1.4886930499753928
eta_0.02,100,30,1.0,1.0,4.5102810375396984e-17,4.5102810375396984e-17,0.0891821881898455,0.0891821881898455,0.19508640314569536,1.4848003479254528,1.4848003479254528
eta_0.02,500,30,1.0,1.0,4.5102810375396984e-17,4.5102810375396984e-17,0.04053843486462494,0.04053843486462494,0.16916853916999558,1.4884609447778439,1.4884609447778439
eta_0.02,5000,30,1.0,1.0,4.5102810375396984e-17,4.5102810375396984e-17,0.01297394486290717,0.01297394486290717,0.1620840135204195,1.4877051846528793,1.4877051846528793
eta_0.2,100,30,1.0,1.0,1.0234868508263162e-16,1.0234868508263162e-16,0.08966439017660047,0.08966439017660047,0.18021609409492276,1.494566652049401,1.494566652049401
eta_0.2,500,30,1.0,1.0,1.0234868508263162e-16,1.0234868508263162e-16,0.04011025577008434,0.04011025577008434,0.15178117371282734,1.4877993214680103,1.4877993214680103
eta_0.2,5000,30,1.0,1.0,1.0234868508263162e-16,1.0234868508263162e-16,0.012793327000844327,0.012793327000844325,0.14497611776763097,1.4878887444701545,1.4878887444701545
eta_0.8,100,30,-0.12768303027494565,0.0,0.09029865027771439,5.941427905220564e-17,0.07488854033315673,0.09175807119205298,0.19646419701986753,0.9242802093415834,1.496120544290645
eta_0.8,500,30,-0.12743628185907047,0.0,0.020217688657087837,5.941427905220564e-17,0.03968698525360202,0.0411239874611629,0.17564989735907682,0.9223352429000482,1.4903908618067585
eta_0.8,5000,30,-0.12743628185907047,0.0,0.020217688657087837,5.941427905220564e-17,0.021361501440087943,0.012802884337643866,0.1704938252677421,0.9228037696080233,1.4879229555117055
isospectral_broken_8partition,100,30,1.0,1.0,0.005079165887234451,0.005079165887234451,0.09003621688741723,0.09003621688741723,0.19530974061810158,1.4920148476859292,1.4920148476859292
isospectral_broken_8partition,500,30,1.0,1.0,0.005079165887234451,0.005079165887234451,0.04043315856635597,0.040433158566355966,0.16834184975588104,1.4895969646661635,1.4895969646661635
isospectral_broken_8partition,5000,30,1.0,1.0,0.005079165887234451,0.005079165887234451,0.012932635093098695,0.012932635093098695,0.16190115331844643,1.487470639184588,1.487470639184588
