tau,samples_per_state,repeat,resolved_count
0.1,100,0,48
0.1,100,1,48
0.1,100,2,48
0.1,100,3,48
0.1,100,4,48
0.1,100,5,48
0.1,100,6,48
0.1,100,7,48
0.1,100,8,48
0.1,100,9,48
0.1,100,10,48
0.1,100,11,48
0.1,100,12,48
0.1,100,13,48
0.1,100,14,48
0.1,100,15,48
0.1,100,16,48
0.1,100,17,48
0.1,100,18,48
0.1,100,19,48
0.1,100,20,48
0.1,100,21,48
0.1,100,22,48
0.1,100,23,48
0.1,100,24,48
0.1,100,25,48
0.1,100,26,48
0.1,100,27,48
0.1,100,28,48
0.1,100,29,48
0.1,100,30,48
0.1,100,31,48
0.1,100,32,48
0.1,100,33,48
0.1,100,34,48
0.1,100,35,48
0.1,100,36,48
0.1,100,37,48
0.1,100,38,48
0.1,100,39,48
0.1,100,40,48
0.1,100,41,48
0.1,100,42,48
0.1,100,43,47
0.1,100,44,48
0.1,100,45,48
0.1,100,46,48
0.1,100,47,48
0.1,100,48,48
0.1,100,49,48
0.1,100,50,48
0.1,100,51,48
0.1,100,52,48
0.1,100,53,48
0.1,100,54,48
0.1,100,55,48
0.1,100,56,48
0.1,100,57,48
0.1,100,58,48
0.1,100,59,48
0.1,100,60,48
0.1,100,61,48
0.1,100,62,48
0.1,100,63,48
0.1,100,64,48
0.1,100,65,48
0.1,100,66,48
0.1,100,67,48
0.1,100,68,48
0.1,100,69,48
0.1,100,70,48
0.1,100,71,48
0.1,100,72,48
0.1,100,73,48
0.1,100,74,48
0.1,100,75,48
0.1,100,76,48
0.1,100,77,48
0.1,100,78,48
0.1,100,79,48
0.1,100,80,48
0.1,100,81,48
0.1,100,82,48
0.1,100,83,48
0.1,100,84,48
0.1,100,85,48
0.1,100,86,48
0.1,100,87,48
0.1,100,88,48
0.1,100,89,48
0.1,100,90,48
0.1,100,91,48
0.1,100,92,48
0.1,100,93,48
0.1,100,94,48
0.1,100,95,48
0.1,100,96,48
0.1,100,97,48
0.1,100,98,48
0.1,100,99,48
0.1,500,0,48
0.1,500,1,48
0.1,500,2,48
0.1,500,3,48
0.1,500,4,48
0.1,500,5,48
0.1,500,6,48
0.1,500,7,48
0.1,500,8,48
0.1,500,9,48
0.1,500,10,48
0.1,500,11,48
0.1,500,12,48
0.1,500,13,48
0.1,500,14,48
0.1,500,15,48
0.1,500,16,48
0.1,500,17,48
0.1,500,18,48
0.1,500,19,48
0.1,500,20,48
0.1,500,21,48
0.1,500,22,48
0.1,500,23,48
0.1,500,24,48
0.1,500,25,48
0.1,500,26,48
0.1,500,27,48
0.1,500,28,48
0.1,500,29,48
0.1,500,30,48
0.1,500,31,48
0.1,500,32,48
0.1,500,33,48
0.1,500,34,48
0.1,500,35,48
0.1,500,36,48
0.1,500,37,48
0.1,500,38,48
0.1,500,39,48
0.1,500,40,48
0.1,500,41,48
0.1,500,42,48
0.1,500,43,48
0.1,500,44,48
0.1,500,45,48
0.1,500,46,48
0.1,500,47,48
0.1,500,48,48
0.1,500,49,48
0.1,500,50,48
0.1,500,51,48
0.1,500,52,48
0.1,500,53,48
0.1,500,54,48
0.1,500,55,48
0.1,500,56,48
0.1,500,57,48
0.1,500,58,48
0.1,500,59,48
0.1,500,60,48
0.1,500,61,48
0.1,500,62,48
0.1,500,63,48
0.1,500,64,48
0.1,500,65,48
0.1,500,66,48
0.1,500,67,48
0.1,500,68,48
0.1,500,69,48
0.1,500,70,48
0.1,500,71,48
0.1,500,72,48
0.1,500,73,48
